OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP
41-3099,"Sales representatives, services, all other",,352050
41-4011,"Sales representatives, wholesale and manufacturing, technical and scientific products",,378080
41-4012,"Sales representatives, wholesale and manufacturing, except technical and scientific products",,1385630
41-9011,Demonstrators and product promoters,,93240
41-9012,Models,,1410
41-9021,Real estate brokers,,40050
41-9022,Real estate sales agents,,126470
41-9031,Sales engineers,,71690
41-9041,Telemarketers,,410360
41-9091,"Door-to-door sales workers, news and street vendors, and related workers",,15200
41-9099,"Sales and related workers, all other",,198230
43-0000,Office and administrative support occupations,major,22649080
43-1011,First-line supervisors/managers of office and administrative support workers,,1406240
43-2011,"Switchboard operators, including answering service",,206370
43-2021,Telephone operators,,38500
43-2099,"Communications equipment operators, all other",,4040
43-3011,Bill and account collectors,,445180
43-3021,Billing and posting clerks and machine operators,,496780
43-3031,"Bookkeeping, accounting, and auditing clerks",,1770860
43-3041,Gaming cage workers,,19710
43-3051,Payroll and timekeeping clerks,,205670
43-3061,Procurement clerks,,71740
43-3071,Tellers,,552860
43-4011,Brokerage clerks,,73910
43-4021,Correspondence clerks,,21590
43-4031,"Court, municipal, and license clerks",,103090
43-4041,"Credit authorizers, checkers, and clerks",,66010
43-4051,Customer service representatives,,2021350
43-4061,"Eligibility interviewers, government programs",,93250
43-4071,File clerks,,242640
43-4081,"Hotel, motel, and resort desk clerks",,190300
43-4111,"Interviewers, except eligibility and loan",,193780
43-4121,"Library assistants, clerical",,102310
43-4131,Loan interviewers and clerks,,209320
43-4141,New accounts clerks,,96560
43-4151,Order clerks,,289830
43-4161,"Human resources assistants, except payroll and timekeeping",,164940
43-4171,Receptionists and information clerks,,1071230
43-4181,Reservation and transportation ticket agents and travel clerks,,159910
43-4199,All other information and record clerks,,269070
43-5011,Cargo and freight agents,,70000
43-5021,Couriers and messengers,,111700
43-5031,"Police, fire, and ambulance dispatchers",,90930
43-5032,"Dispatchers, except police, fire, and ambulance",,165910
43-5041,"Meter readers, utilities",,48830
43-5051,Postal service clerks,,76870
43-5052,Postal service mail carriers,,344050
43-5053,"Postal service mail sorters, processors, and processing machine operators",,214400
43-5061,"Production, planning, and expediting clerks",,285940
43-5071,"Shipping, receiving, and traffic clerks",,747270
43-5081,Stock clerks and order fillers,,1561530
43-5111,"Weighers, measurers, checkers, and samplers, recordkeeping",,83570
43-6011,Executive secretaries and administrative assistants,,1422610
43-6012,Legal secretaries,,264070
43-6013,Medical secretaries,,360850
43-6014,"Secretaries, except legal, medical, and executive",,1743560
43-9011,Computer operators,,140870
43-9021,Data entry keyers,,313590
43-9022,Word processors and typists,,168430
43-9031,Desktop publishers,,32790
43-9041,Insurance claims and policy processing clerks,,239250
43-9051,"Mail clerks and mail machine operators, except postal service",,149700
43-9061,"Office clerks, general",,2970660
43-9071,"Office machine operators, except computer",,97140
43-9081,Proofreaders and copy markers,,20530
43-9111,Statistical assistants,,18560
43-9199,"Office and administrative support workers, all other",,318430
45-0000,"Farming, fishing, and forestry occupations",major,458850
45-1011,"First-line supervisors/managers of farming, fishing, and forestry workers",,19890
45-1012,Farm labor contractors,,2770
45-2011,Agricultural inspectors,,12300
45-2021,Animal breeders,,1530
45-2041,"Graders and sorters, agricultural products",,50110
45-2091,Agricultural equipment operators,,20960
45-2092,"Farmworkers and laborers, crop, nursery, and greenhouse",,240000
45-2093,"Farmworkers, farm and ranch animals",,43250
45-2099,"Agricultural workers, all other",,9500
45-3011,Fishers and related fishing workers,,940
45-4011,Forest and conservation workers,,9140
45-4021,Fallers,,10180
45-4022,Logging equipment operators,,27690
45-4023,Log graders and scalers,,4870
45-4029,"Logging workers, all other",,5680
47-0000,Construction and extraction occupations,major,6170410
47-1011,First-line supervisors/managers of construction trades and extraction workers,,542440
47-2011,Boilermakers,,18520
47-2021,Brickmasons and blockmasons,,107660
47-2022,Stonemasons,,16320
47-2031,Carpenters,,882490
47-2041,Carpet installers,,40170
47-2042,"Floor layers, except carpet, wood, and hard tiles",,15800
47-2043,Floor sanders and finishers,,6430
47-2044,Tile and marble setters,,42930
47-2051,Cement masons and concrete finishers,,191690
47-2053,Terrazzo workers and finishers,,6700
47-2061,Construction laborers,,854840
47-2071,"Paving, surfacing, and tamping equipment operators",,61860
47-2072,Pile-driver operators,,4450
47-2073,Operating engineers and other construction equipment operators,,357080
47-2081,Drywall and ceiling tile installers,,113350
47-2082,Tapers,,36370
47-2111,Electricians,,582920
47-2121,Glaziers,,43140
47-2131,"Insulation workers, floor, ceiling, and wall",,37000
47-2132,"Insulation workers, mechanical",,17110
47-2141,"Painters, construction and maintenance",,249560
47-2142,Paperhangers,,7660
47-2151,Pipelayers,,54470
47-2152,"Plumbers, pipefitters, and steamfitters",,424360
47-2161,Plasterers and stucco masons,,54920
47-2171,Reinforcing iron and rebar workers,,32660
47-2181,Roofers,,119820
47-2211,Sheet metal workers,,184740
47-2221,Structural iron and steel workers,,70240
47-3011,"Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters",,61680
47-3012,Helpers--carpenters,,106130
47-3013,Helpers--electricians,,92820
47-3014,"Helpers--painters, paperhangers, plasterers, and stucco masons",,26090
47-3015,"Helpers--pipelayers, plumbers, pipefitters, and steamfitters",,74820
47-3016,Helpers--roofers,,21530
47-3019,"Helpers, construction trades, all other",,38310
47-4011,Construction and building inspectors,,82690
47-4021,Elevator installers and repairers,,21110
47-4031,Fence erectors,,23350
47-4041,Hazardous materials removal workers,,38550
47-4051,Highway maintenance workers,,136550
47-4061,Rail-track laying and maintenance equipment operators,,10430
47-4071,Septic tank servicers and sewer pipe cleaners,,16670
47-4091,Segmental pavers,,840
47-4099,"Construction and related workers, all other",,81260
47-5011,"Derrick operators, oil and gas",,13880
47-5012,"Rotary drill operators, oil and gas",,13860
47-5013,"Service unit operators, oil, gas, and mining",,16210
47-5021,"Earth drillers, except oil and gas",,19320
47-5031,"Explosives workers, ordnance handling experts, and blasters",,5290
47-5041,Continuous mining machine operators,,8060
47-5042,Mine cutting and channeling machine operators,,3900
47-5049,"Mining machine operators, all other",,2710
47-5051,"Rock splitters, quarry",,3180
47-5061,"Roof bolters, mining",,4290
47-5071,"Roustabouts, oil and gas",,32280
47-5081,Helpers--extraction workers,,26430
47-5099,"Extraction workers, all other",,10450
49-0000,"Installation, maintenance, and repair occupations",major,5215390
49-1011,"First-line supervisors/managers of mechanics, installers, and repairers",,459440
49-2011,"Computer, automated teller, and office machine repairers",,141350
49-2021,Radio mechanics,,6340
49-2022,"Telecommunications equipment installers and repairers, except line installers",,202160
49-2091,Avionics technicians,,22310
49-2092,"Electric motor, power tool, and related repairers",,21910
49-2093,"Electrical and electronics installers and repairers, transportation equipment",,17390
49-2094,"Electrical and electronics repairers, commercial and industrial equipment",,71300
49-2095,"Electrical and electronics repairers, powerhouse, substation, and relay",,20660
49-2096,"Electronic equipment installers and repairers, motor vehicles",,15490
49-2097,Electronic home entertainment equipment installers and repairers,,32210
49-2098,Security and fire alarm systems installers,,44710
49-3011,Aircraft mechanics and service technicians,,112830
49-3021,Automotive body and related repairers,,162820
