,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP
341,25-1022,"Mathematical Science Teachers, Postsecondary",detailed,"53,850"
342,25-1030,"Engineering and Architecture Teachers, Postsecondary",broad,"44,610"
343,25-1031,"Architecture Teachers, Postsecondary",detailed,"7,340"
344,25-1032,"Engineering Teachers, Postsecondary",detailed,"37,270"
345,25-1040,"Life Sciences Teachers, Postsecondary",broad,"62,990"
346,25-1041,"Agricultural Sciences Teachers, Postsecondary",detailed,"9,680"
347,25-1042,"Biological Science Teachers, Postsecondary",detailed,"51,640"
348,25-1043,"Forestry and Conservation Science Teachers, Postsecondary",detailed,"1,660"
349,25-1050,"Physical Sciences Teachers, Postsecondary",broad,"52,200"
350,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",detailed,"10,890"
351,25-1052,"Chemistry Teachers, Postsecondary",detailed,"21,460"
352,25-1053,"Environmental Science Teachers, Postsecondary",detailed,"5,540"
353,25-1054,"Physics Teachers, Postsecondary",detailed,"14,310"
354,25-1060,"Social Sciences Teachers, Postsecondary",broad,"116,420"
355,25-1061,"Anthropology and Archeology Teachers, Postsecondary",detailed,"6,000"
356,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",detailed,"9,240"
357,25-1063,"Economics Teachers, Postsecondary",detailed,"13,580"
358,25-1064,"Geography Teachers, Postsecondary",detailed,"4,350"
359,25-1065,"Political Science Teachers, Postsecondary",detailed,"17,460"
360,25-1066,"Psychology Teachers, Postsecondary",detailed,"38,380"
361,25-1067,"Sociology Teachers, Postsecondary",detailed,"16,160"
362,25-1069,"Social Sciences Teachers, Postsecondary, All Other",detailed,"11,250"
363,25-1070,"Health Teachers, Postsecondary",broad,"236,290"
364,25-1071,"Health Specialties Teachers, Postsecondary",detailed,"178,900"
365,25-1072,"Nursing Instructors and Teachers, Postsecondary",detailed,"57,390"
366,25-1080,"Education and Library Science Teachers, Postsecondary",broad,"65,160"
367,25-1081,"Education Teachers, Postsecondary",detailed,"60,260"
368,25-1082,"Library Science Teachers, Postsecondary",detailed,"4,910"
369,25-1110,"Law, Criminal Justice, and Social Work Teachers, Postsecondary",broad,"42,720"
370,25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",detailed,"14,560"
371,25-1112,"Law Teachers, Postsecondary",detailed,"16,430"
372,25-1113,"Social Work Teachers, Postsecondary",detailed,"11,740"
373,25-1120,"Arts, Communications, and Humanities Teachers, Postsecondary",broad,"280,710"
374,25-1121,"Art, Drama, and Music Teachers, Postsecondary",detailed,"98,310"
375,25-1122,"Communications Teachers, Postsecondary",detailed,"29,050"
376,25-1123,"English Language and Literature Teachers, Postsecondary",detailed,"75,730"
377,25-1124,"Foreign Language and Literature Teachers, Postsecondary",detailed,"30,120"
378,25-1125,"History Teachers, Postsecondary",detailed,"23,680"
379,25-1126,"Philosophy and Religion Teachers, Postsecondary",detailed,"23,820"
380,25-1190,Miscellaneous Postsecondary Teachers,broad,"457,750"
381,25-1191,Graduate Teaching Assistants,detailed,"125,100"
382,25-1192,"Home Economics Teachers, Postsecondary",detailed,"3,650"
383,25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",detailed,"17,980"
384,25-1194,"Vocational Education Teachers, Postsecondary",detailed,"119,800"
385,25-1199,"Postsecondary Teachers, All Other",detailed,"191,220"
386,25-2000,"Preschool, Primary, Secondary, and Special Education School Teachers",minor,"4,080,100"
387,25-2010,Preschool and Kindergarten Teachers,broad,"528,330"
388,25-2011,"Preschool Teachers, Except Special Education",detailed,"370,190"
389,25-2012,"Kindergarten Teachers, Except Special Education",detailed,"158,150"
390,25-2020,Elementary and Middle School Teachers,broad,"2,027,280"
391,25-2021,"Elementary School Teachers, Except Special Education",detailed,"1,381,430"
392,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",detailed,"632,760"
393,25-2023,"Career/Technical Education Teachers, Middle School",detailed,"13,090"
394,25-2030,Secondary School Teachers,broad,"1,040,250"
395,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",detailed,"962,820"
396,25-2032,"Career/Technical Education Teachers, Secondary School",detailed,"77,430"
397,25-2050,Special Education Teachers,broad,"484,240"
398,25-2051,"Special Education Teachers, Preschool",detailed,"29,230"
399,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,"195,780"
400,25-2053,"Special Education Teachers, Middle School",detailed,"91,050"
401,25-2054,"Special Education Teachers, Secondary School",detailed,"129,770"
402,25-2059,"Special Education Teachers, All Other",detailed,"38,410"
403,25-3000,Other Teachers and Instructors,minor,"1,182,320"
404,25-3010,Adult Basic and Secondary Education and Literacy Teachers and Instructors,broad,"65,110"
405,25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,detailed,"65,110"
406,25-3020,Self-Enrichment Education Teachers,broad,"217,530"
407,25-3021,Self-Enrichment Education Teachers,detailed,"217,530"
408,25-3090,Miscellaneous Teachers and Instructors,broad,"899,670"
409,25-3097,"Teachers and Instructors, All Other, Except Substitute Teachers",detailed,"272,920"
410,25-3098,Substitute Teachers,detailed,"626,750"
411,25-4000,"Librarians, Curators, and Archivists",minor,"253,810"
412,25-4010,"Archivists, Curators, and Museum Technicians",broad,"28,080"
413,25-4011,Archivists,detailed,"5,460"
414,25-4012,Curators,detailed,"11,870"
415,25-4013,Museum Technicians and Conservators,detailed,"10,750"
416,25-4020,Librarians,broad,"131,550"
417,25-4021,Librarians,detailed,"131,550"
418,25-4030,Library Technicians,broad,"94,170"
419,25-4031,Library Technicians,detailed,"94,170"
420,25-9000,"Other Education, Training, and Library Occupations",minor,"1,495,090"
421,25-9010,Audio-Visual and Multimedia Collections Specialists,broad,"10,170"
422,25-9011,Audio-Visual and Multimedia Collections Specialists,detailed,"10,170"
423,25-9020,Farm and Home Management Advisors,broad,"8,760"
424,25-9021,Farm and Home Management Advisors,detailed,"8,760"
425,25-9030,Instructional Coordinators,broad,"139,460"
426,25-9031,Instructional Coordinators,detailed,"139,460"
427,25-9040,Teacher Assistants,broad,"1,228,440"
428,25-9041,Teacher Assistants,detailed,"1,228,440"
429,25-9090,"Miscellaneous Education, Training, and Library Workers",broad,"108,270"
430,25-9099,"Education, Training, and Library Workers, All Other",detailed,"108,270"
431,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,"1,843,600"
432,27-1000,Art and Design Workers,minor,"559,820"
433,27-1010,Artists and Related Workers,broad,"90,150"
434,27-1011,Art Directors,detailed,"34,690"
435,27-1012,Craft Artists,detailed,"5,270"
436,27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",detailed,"12,240"
437,27-1014,Multimedia Artists and Animators,detailed,"30,240"
438,27-1019,"Artists and Related Workers, All Other",detailed,"7,700"
439,27-1020,Designers,broad,"469,670"
440,27-1021,Commercial and Industrial Designers,detailed,"31,330"
441,27-1022,Fashion Designers,detailed,"19,040"
442,27-1023,Floral Designers,detailed,"44,350"
443,27-1024,Graphic Designers,detailed,"204,850"
444,27-1025,Interior Designers,detailed,"51,050"
445,27-1026,Merchandise Displayers and Window Trimmers,detailed,"100,540"
446,27-1027,Set and Exhibit Designers,detailed,"11,930"
447,27-1029,"Designers, All Other",detailed,"6,590"
448,27-2000,"Entertainers and Performers, Sports and Related Workers",minor,"498,020"
449,27-2010,"Actors, Producers, and Directors",broad,"155,210"
450,27-2011,Actors,detailed,"50,570"
451,27-2012,Producers and Directors,detailed,"104,650"
452,27-2020,"Athletes, Coaches, Umpires, and Related Workers",broad,"254,440"
453,27-2021,Athletes and Sports Competitors,detailed,"11,710"
454,27-2022,Coaches and Scouts,detailed,"224,110"
455,27-2023,"Umpires, Referees, and Other Sports Officials",detailed,"18,620"
456,27-2030,Dancers and Choreographers,broad,"15,160"
457,27-2031,Dancers,detailed,"10,030"
458,27-2032,Choreographers,detailed,"5,130"
